x,y,z,q,words
-4.3076923076923075,25.0,0.0,-6.788944723618091,of
0.5384615384615383,25.0,0.0,-6.788944723618091,of
-4.3076923076923075,25.0,0.0,-6.788944723618091,renewal
5.384615384615385,25.0,0.0,-6.788944723618091,renewal
-6.461538461538462,25.0,0.0,-6.788944723618091,renewal
-0.5384615384615383,25.0,0.0,-6.788944723618091,renewal
6.461538461538462,10.0,0.0,-6.894472361809045,renewal
1.0769230769230766,10.0,0.0,-6.894472361809045,renewal
4.307692307692308,10.0,0.0,-6.894472361809045,renewal
2.6923076923076916,10.0,0.0,-6.894472361809045,your
-2.6923076923076925,10.0,0.0,-6.894472361809045,your
-4.3076923076923075,10.0,0.0,-6.894472361809045,your
-6.461538461538462,10.0,0.0,-6.894472361809045,your
-4.846153846153847,10.0,0.0,-6.894472361809045,head
1.0769230769230766,0.0,0.0,-6.964824120603015,head
0.5384615384615383,0.0,0.0,-6.964824120603015,head
3.76923076923077,5.0,0.0,-6.9296482412060305,head
-2.6923076923076925,5.0,0.0,-6.9296482412060305,on
-4.3076923076923075,5.0,0.0,-6.9296482412060305,on
1.615384615384615,20.0,0.0,-6.824120603015075,the
-2.153846153846154,20.0,0.0,-6.824120603015075,the
-0.5384615384615383,20.0,0.0,-6.824120603015075,the
-0.5384615384615383,20.0,0.0,-6.824120603015075,pillow
1.0769230769230766,20.0,0.0,-6.824120603015075,pillow
5.384615384615385,20.0,0.0,-6.824120603015075,pillow
6.461538461538462,10.0,0.0,-6.894472361809045,pillow
1.0769230769230766,10.0,0.0,-6.894472361809045,pillow
4.307692307692308,10.0,0.0,-6.894472361809045,pillow
2.6923076923076916,10.0,0.0,-6.894472361809045,your
-2.6923076923076925,15.0,0.0,-6.85929648241206,your
-6.461538461538462,15.0,0.0,-6.85929648241206,your
0.5384615384615383,15.0,0.0,-6.85929648241206,your
-4.846153846153847,15.0,0.0,-6.85929648241206,hands
3.23076923076923,15.0,0.0,-6.85929648241206,hands
-3.769230769230769,30.0,0.0,-6.7537688442211055,hands
-0.5384615384615383,30.0,0.0,-6.7537688442211055,hands
1.0769230769230766,30.0,0.0,-6.7537688442211055,hands
-6.461538461538462,30.0,0.0,-6.7537688442211055,floating
3.76923076923077,30.0,0.0,-6.7537688442211055,floating
-2.153846153846154,30.0,0.0,-6.7537688442211055,floating
0.5384615384615383,30.0,0.0,-6.7537688442211055,floating
-3.230769230769231,30.0,0.0,-6.7537688442211055,floating
-2.153846153846154,0.0,0.0,-6.964824120603015,floating
0.5384615384615383,0.0,0.0,-6.964824120603015,floating
3.76923076923077,5.0,0.0,-6.9296482412060305,floating
-2.6923076923076925,5.0,0.0,-6.9296482412060305,in
-4.3076923076923075,5.0,0.0,-6.9296482412060305,in
-0.5384615384615383,15.0,0.0,-6.85929648241206,the
-2.153846153846154,15.0,0.0,-6.85929648241206,the
-3.230769230769231,15.0,0.0,-6.85929648241206,the
-2.6923076923076925,15.0,0.0,-6.85929648241206,light
3.76923076923077,15.0,0.0,-6.85929648241206,light
-2.153846153846154,0.0,0.0,-6.964824120603015,light
0.5384615384615383,0.0,0.0,-6.964824120603015,light
0.0,0.0,0.0,-6.964824120603015,light
6.461538461538462,0.0,0.0,-6.964824120603015,in
-0.5384615384615383,15.0,0.0,-6.85929648241206,in
-2.153846153846154,15.0,0.0,-6.85929648241206,my
-3.230769230769231,15.0,0.0,-6.85929648241206,my
-2.6923076923076925,15.0,0.0,-6.85929648241206,light
3.76923076923077,15.0,0.0,-6.85929648241206,light
1.0769230769230766,10.0,0.0,-6.894472361809045,light
4.846153846153847,10.0,0.0,-6.894472361809045,light
-4.3076923076923075,10.0,0.0,-6.894472361809045,light
2.6923076923076916,10.0,0.0,-6.894472361809045,over
0.0,0.0,0.0,-6.964824120603015,over
6.461538461538462,0.0,0.0,-6.964824120603015,over
-4.3076923076923075,15.0,0.0,-6.85929648241206,over
-6.461538461538462,15.0,0.0,-6.85929648241206,my
2.6923076923076916,15.0,0.0,-6.85929648241206,my
3.76923076923077,15.0,0.0,-6.85929648241206,earth
-2.6923076923076925,15.0,0.0,-6.85929648241206,earth
3.76923076923077,0.0,0.0,-6.964824120603015,earth
5.384615384615385,5.0,0.0,-6.9296482412060305,earth
-6.461538461538462,5.0,0.0,-6.9296482412060305,earth
3.23076923076923,5.0,,-6.9296482412060305,
-5.923076923076923,35.0,0.0,-6.71859296482412,It
-4.3076923076923075,35.0,0.0,-6.71859296482412,was
-6.461538461538462,35.0,0.0,-6.71859296482412,was
4.307692307692308,35.0,0.0,-6.71859296482412,was
3.76923076923077,35.0,6.0,-6.71859296482412,beautiful
-2.153846153846154,35.0,6.0,-6.71859296482412,beautiful
-3.769230769230769,35.0,6.0,-6.71859296482412,beautiful
4.307692307692308,35.0,6.0,-6.71859296482412,beautiful
-0.5384615384615383,35.0,6.0,-6.71859296482412,beautiful
3.76923076923077,0.0,6.0,-6.964824120603015,beautiful
1.0769230769230766,0.0,6.0,-6.964824120603015,beautiful
-0.5384615384615383,10.0,6.0,-6.894472361809045,beautiful
-2.153846153846154,10.0,6.0,-6.894472361809045,beautiful
